,season,Riversize,Waterspeed,mxPH,mnO2,CI,NO3,NH4,oPO4,PO4,Chia,a1,a2,a3,a4,a5,a6,a7
22,autumn,small,high,7.75,10.3,32.92,2.942,42.0,16.0,40.0,7.6,23.2,0.0,0.0,0.0,27.6,11.1,0.0
23,winter,small,high,7.62,8.5,11.867,1.715,208.333,3.0,27.5,1.7,74.2,0.0,0.0,3.7,0.0,0.0,0.0
24,spring,small,high,7.84,9.4,10.975,1.51,12.5,3.0,11.5,1.5,13.0,8.6,1.2,3.5,1.2,1.6,1.9
25,summer,small,high,7.77,10.7,12.536,3.976,58.5,9.0,44.136,3.0,4.1,0.0,0.0,0.0,9.2,10.1,0.0
26,winter,small,high,7.09,8.4,10.5,1.572,28.0,4.0,13.6,0.5,29.7,0.0,0.0,4.9,0.0,0.0,0.0
27,autumn,small,high,6.8,11.1,9.0,0.63,20.0,4.0,6.0,2.7,30.3,1.9,0.0,0.0,2.1,1.4,2.1
28,winter,small,high,8.0,9.8,16.0,0.73,20.0,26.0,45.0,0.8,17.1,0.0,19.6,0.0,0.0,0.0,2.5
29,spring,small,high,7.2,11.3,9.0,0.23,120.0,12.0,19.0,0.5,33.9,1.0,14.6,0.0,0.0,0.0,0.0
30,autumn,small,high,7.4,12.5,13.0,3.33,60.0,72.0,142.0,4.9,3.4,16.0,1.2,0.0,15.3,15.8,0.0
31,winter,small,high,8.1,10.3,26.0,3.78,60.0,246.0,304.0,2.8,6.9,17.1,20.2,0.0,4.0,0.0,2.9
32,summer,small,high,7.8,11.3,20.083,3.02,49.5,53.0,130.75,5.8,0.0,8.0,1.9,0.0,11.2,42.7,1.2
33,autumn,small,medium,8.4,9.9,34.5,2.818,3515.0,20.0,47.0,2.3,13.6,9.1,0.0,0.0,1.4,0.0,0.0
34,winter,small,medium,8.27,7.8,29.2,0.05,6400.0,7.4,23.0,0.9,5.3,40.7,3.3,0.0,0.0,0.0,1.9
35,summer,small,medium,8.66,8.4,30.523,3.444,1911.0,58.875,84.46,3.6,18.3,12.4,1.0,0.0,0.0,0.0,1.0
36,winter,small,high,8.3,10.9,1.17,0.735,13.5,1.625,3.0,0.2,66.0,0.0,0.0,0.0,0.0,0.0,0.0
37,spring,small,high,8.0,9.8,1.45,0.81,10.0,2.5,3.0,0.3,75.8,0.0,0.0,0.0,0.0,0.0,0.0
38,winter,small,medium,8.3,8.9,20.625,3.414,228.75,196.62,253.25,12.32,2.0,38.5,4.1,2.2,0.0,0.0,10.2
39,spring,small,medium,8.1,10.5,22.286,4.071,178.57,182.42,255.28,8.957,2.2,2.7,1.0,3.7,2.7,0.0,0.0
40,winter,small,medium,8.0,5.5,77.0,6.096,122.85,143.71,296.0,3.7,0.0,5.9,10.6,1.7,0.0,0.0,7.1
41,summer,small,medium,8.15,7.1,54.19,3.829,647.57,59.429,175.046,13.2,0.0,0.0,0.0,5.7,11.3,17.0,1.6
42,winter,small,high,8.3,7.7,50.0,8.543,76.0,264.9,344.6,22.5,0.0,40.9,7.5,0.0,2.4,1.5,0.0
43,spring,small,high,8.3,8.8,54.143,7.83,51.429,276.85,326.857,11.84,4.1,3.1,0.0,0.0,19.7,17.0,0.0
44,winter,small,high,8.4,13.4,69.75,4.555,37.5,10.0,40.667,3.9,51.8,4.1,0.0,0.0,3.1,5.5,0.0
45,spring,small,high,8.3,12.5,87.0,4.87,22.5,27.0,43.5,3.3,29.5,1.0,2.7,3.2,2.9,9.6,0.0
46,autumn,small,high,8.0,12.1,66.3,4.535,39.0,16.0,39.0,0.8,54.4,3.4,1.2,0.0,18.7,2.0,0.0
47,winter,small,low,8.0,12.6,9.0,0.23,10.0,5.0,6.0,1.1,35.5,0.0,0.0,0.0,0.0,0.0,0.0
48,spring,small,medium,7.6,9.6,15.0,3.02,40.0,27.0,121.0,2.8,89.8,0.0,0.0,0.0,0.0,0.0,0.0
49,autumn,small,medium,7.29,11.21,17.75,3.07,35.0,13.0,20.812,12.1,24.8,7.4,0.0,2.5,10.6,17.1,3.2
50,winter,small,medium,7.6,10.2,32.3,4.508,192.5,12.75,49.333,7.9,0.0,0.0,0.0,4.6,1.2,0.0,3.9
51,summer,small,medium,8.0,7.9,27.233,1.651,28.333,7.3,22.9,4.5,39.1,0.0,1.2,2.2,5.4,1.5,3.2
52,winter,small,high,7.9,11.0,6.167,1.172,18.333,7.75,11.8,0.5,81.9,0.0,0.0,0.0,0.0,0.0,0.0
53,spring,small,high,7.9,9.0,5.273,0.91,33.636,9.0,11.818,0.8,54.0,0.0,0.0,2.4,0.0,0.0,0.0
54,winter,small,high,6.6,10.8,7.0,3.245,10.0,1.0,6.5,2.3967125,24.3,0.0,0.0,0.0,0.0,0.0,0.0
55,spring,small,medium,5.6,11.8,7.0,2.22,5.0,1.0,1.0,2.018669,82.7,0.0,0.0,0.0,0.0,0.0,0.0
56,autumn,small,medium,5.7,10.8,7.0,2.55,10.0,1.0,4.0,2.1904095,16.8,4.6,3.9,11.5,0.0,0.0,0.0
57,spring,small,high,6.6,9.5,7.0,1.32,20.0,1.0,6.0,5.5251215,46.8,0.0,0.0,28.8,0.0,0.0,0.0
58,summer,small,high,6.6,10.8,7.0,2.64,10.0,2.0,11.0,2.025437,46.9,0.0,0.0,13.4,0.0,0.0,0.0
59,autumn,small,medium,6.6,11.3,7.0,4.17,10.0,1.0,6.0,2.6160385,47.1,0.0,0.0,0.0,0.0,1.2,0.0
60,spring,small,medium,6.5,10.4,7.0,5.97,10.0,2.0,14.0,7.1020435,66.9,0.0,0.0,0.0,0.0,0.0,0.0
61,summer,small,medium,6.4,9.8,7.0,0.23,10.0,1.0,14.0,2.6461065,19.4,0.0,0.0,2.0,0.0,3.9,1.7
62,autumn,small,high,7.83,11.7,4.083,1.328,18.0,3.333,6.667,1.21492,14.4,0.0,0.0,0.0,0.0,0.0,0.0
63,spring,small,high,7.57,10.8,4.575,1.203,27.5,2.0,6.75,1.0,20.3,4.3,5.5,0.0,0.0,0.0,1.4
64,summer,small,high,7.19,11.7,4.326,1.474,160.0,2.5,7.2,0.3,15.8,1.7,7.8,0.0,0.0,2.4,1.4
65,winter,small,high,7.44,10.1,2.933,0.77,15.0,1.333,6.0,0.6,55.5,0.0,1.7,1.4,0.0,0.0,0.0
66,spring,small,high,7.14,9.8,3.275,0.923,15.0,1.25,10.75,2.5,10.3,0.0,42.8,2.2,0.0,0.0,0.0
67,summer,small,high,7.0,12.1,3.136,1.208,16.2,1.8,2.5,0.5,64.2,0.0,3.0,0.0,0.0,0.0,0.0
68,winter,small,medium,7.5,1.5,32.4,0.921,1386.25,220.75,351.6,10.0,0.0,0.0,1.5,7.6,0.0,0.0,6.1
69,spring,small,medium,7.5,1.8,29.775,1.051,2082.85,209.857,313.6,1.0,1.9,4.9,2.6,3.0,0.0,0.0,1.9
70,summer,small,medium,7.8,7.1,32.54,1.72,2167.37,151.125,279.066,13.1,25.5,3.9,1.0,11.0,0.0,0.0,12.5
71,autumn,medium,medium,8.5,8.1,38.125,3.85,225.0,45.0,152.333,5.2,11.3,1.7,2.0,2.2,13.3,10.6,0.0
72,summer,medium,medium,7.925,10.2,34.037,9.08,109.0,55.0,58.623,11.6,4.4,4.0,3.3,0.0,11.7,21.4,1.2
73,winter,medium,medium,8.1,8.1,136.0,3.773,245.0,136.75,249.25,20.87,1.9,5.8,24.8,4.6,9.5,5.1,1.2
74,spring,medium,medium,8.2,6.8,129.375,3.316,271.25,100.0,233.5,13.0,1.6,8.0,17.6,3.7,11.5,7.0,0.0
75,spring,medium,high,9.1,9.4,35.75,5.164,32.5,85.5,215.5,18.37,2.2,9.6,5.0,1.0,8.6,7.9,2.2
76,autumn,medium,medium,8.1,9.8,29.5,1.287,224.286,25.167,102.333,3.6,64.9,1.0,0.0,1.0,2.9,1.4,1.0
77,winter,medium,medium,8.0,5.9,27.4,0.735,133.636,36.0,105.727,3.0,15.1,7.3,23.2,3.4,4.1,0.0,0.0
78,spring,medium,medium,8.0,3.3,26.76,0.658,165.0,37.375,111.375,3.0,14.4,0.0,11.8,11.3,5.5,0.0,0.0
79,winter,medium,high,7.5,9.2,11.0,3.31,101.0,26.6,108.0,1.3,6.7,0.0,5.4,3.4,4.9,6.9,10.8
80,spring,medium,high,7.4,9.8,11.0,3.235,255.0,38.75,56.667,2.0,10.8,0.0,0.0,4.6,6.5,2.2,1.4
81,autumn,medium,high,7.3,11.7,10.4,4.93,130.0,10.8,60.0,4.3,1.2,0.0,1.7,0.0,7.5,17.7,14.4
82,winter,medium,high,7.4,8.9,13.5,5.442,123.333,27.667,104.0,21.0,12.6,4.3,21.9,1.0,2.4,3.3,22.1
83,summer,medium,high,7.4,11.17,12.146,6.188,89.6,32.0,69.93,3.1,14.7,4.1,1.0,0.0,7.7,8.5,31.2
84,autumn,medium,medium,7.5,10.8,31.0,4.408,737.5,111.25,214.0,2.9,3.3,0.0,0.0,5.0,1.9,6.2,25.6
85,winter,medium,medium,7.6,6.0,53.0,3.734,914.0,137.6,254.6,4.3,0.0,0.0,0.0,4.6,9.0,13.1,30.1
86,summer,medium,medium,7.4,10.77,36.248,3.73,429.2,57.6,169.001,3.2,2.8,0.0,0.0,2.6,5.2,13.2,16.7
87,winter,medium,medium,7.8,3.6,48.667,4.03,5738.33,412.333,607.167,4.3,0.0,0.0,2.6,2.4,5.0,0.0,2.4
88,summer,medium,medium,7.6,9.7,53.102,7.16,4073.33,282.167,624.733,6.8,0.0,0.0,0.0,1.0,35.6,9.9,0.0
89,winter,medium,medium,8.5,8.6,125.6,3.778,124.167,197.833,303.333,40.0,0.0,15.2,8.8,0.0,8.6,5.1,2.7
90,spring,medium,medium,8.7,9.4,173.75,3.318,101.25,267.75,391.75,3.5,0.0,5.5,3.3,0.0,20.8,12.4,0.0
91,summer,medium,medium,8.1,10.7,94.405,4.698,153.0,191.75,265.25,7.3,0.0,2.1,1.6,0.0,20.8,32.9,0.0
92,winter,medium,high,8.8,8.5,53.333,5.132,96.667,120.5,232.833,31.0,1.2,5.6,6.3,1.7,1.2,0.0,1.0
93,spring,medium,high,7.8,10.5,70.0,2.443,98.333,144.667,244.0,9.0,0.0,3.1,3.5,1.6,8.2,9.9,0.0
94,summer,medium,high,7.9,11.8,63.51,4.94,137.0,159.5,218.0,6.5,0.0,5.2,0.0,0.0,28.8,20.4,1.0
95,autumn,medium,low,8.5,10.5,56.717,0.33,215.714,23.0,138.5,20.829,5.7,0.0,0.0,4.4,12.4,8.3,7.8
96,winter,medium,low,9.1,5.4,61.05,0.308,105.556,104.222,239.0,72.478,3.6,31.9,2.4,0.0,0.0,0.0,2.2
97,spring,medium,low,8.9,4.5,57.75,0.267,155.0,97.333,235.667,98.817,1.2,16.2,0.0,0.0,0.0,0.0,1.0
98,winter,medium,high,7.9,6.3,101.875,3.978,153.75,51.75,205.875,2.0,4.0,2.1,35.1,6.8,7.3,0.0,0.0
99,summer,medium,high,7.8,8.2,85.982,6.2,421.667,31.333,211.667,21.9,5.9,3.4,1.0,1.2,17.8,49.4,1.0
100,winter,medium,medium,7.7,7.1,63.625,3.14,122.5,28.625,186.5,30.0,16.5,2.1,19.5,3.5,5.3,1.2,3.2
101,spring,medium,medium,7.8,6.5,82.111,2.603,215.556,12.889,154.125,5.2,7.0,0.0,13.5,4.3,8.7,0.0,4.3
102,winter,medium,low,7.7,5.3,65.333,2.899,371.111,51.111,183.667,17.2,58.7,0.0,11.5,6.6,0.0,0.0,0.0
103,summer,medium,low,7.5,8.8,58.331,8.688,758.75,104.5,292.625,3.0,8.7,0.0,3.0,5.3,9.4,33.2,0.0
104,autumn,medium,low,7.6,10.0,49.625,5.456,308.75,38.625,285.714,75.0,17.0,21.6,1.6,1.4,10.2,3.6,1.1
105,winter,medium,low,8.7,7.4,47.778,2.316,38.111,24.667,201.778,3.0,12.3,5.4,1.9,0.0,1.4,0.0,1.9
106,summer,medium,low,7.7,11.1,47.229,8.759,239.0,54.0,275.143,65.7,8.8,19.6,4.7,0.0,0.0,0.0,2.7
107,autumn,medium,high,8.3,11.1,41.5,4.665,931.833,39.0,124.2,13.1,23.7,13.7,0.0,1.7,6.4,2.6,0.0
108,winter,medium,high,8.43,6.0,40.167,2.67,723.667,60.833,141.833,25.0,0.0,6.4,7.3,12.7,0.0,0.0,4.2
109,summer,medium,high,8.16,11.1,32.056,5.694,461.875,71.0,132.546,15.0,3.6,38.8,0.0,0.0,1.2,0.0,2.4
110,winter,medium,high,8.7,9.8,5.889,1.534,51.111,9.667,17.333,1.0,64.3,1.5,8.0,0.0,0.0,0.0,0.0
111,spring,medium,high,8.2,11.3,7.25,1.875,25.0,6.5,26.0,0.3,46.6,0.0,2.5,0.0,0.0,0.0,0.0
112,summer,medium,high,8.5,11.8,7.838,1.732,206.538,8.692,16.662,2.1,24.0,0.0,1.0,0.0,0.0,0.0,0.0
113,spring,medium,medium,7.8,6.0,53.425,0.381,118.571,37.857,102.571,1.2,3.7,1.4,1.1,2.1,3.2,6.4,0.0
114,summer,medium,medium,8.0,9.7,57.848,0.461,217.75,37.0,86.997,3.0,18.1,14.5,0.0,0.0,11.5,22.3,0.0
115,winter,medium,high,9.7,10.8,0.222,0.406,10.0,22.444,10.111,59.2567525,41.0,1.5,0.0,0.0,0.0,0.0,0.0
116,summer,medium,high,8.6,11.62,1.549,0.445,25.833,16.833,18.293,1.4,43.7,0.0,1.2,0.0,0.0,4.7,0.0
117,autumn,medium,medium,8.3,11.6,5.83,0.701,12.727,3.545,13.2,3.2,86.6,0.0,0.0,0.0,0.0,0.0,0.0
118,spring,medium,low,8.4,5.3,74.667,3.9,131.667,261.6,432.909,24.917,1.9,12.7,25.9,0.0,0.0,0.0,6.8
119,summer,medium,low,8.2,6.6,131.4,4.188,92.0,238.2,320.4,6.8,1.2,1.9,22.9,0.0,8.1,0.0,0.0
120,winter,medium,medium,8.2,9.4,45.273,7.195,345.455,144.0,287.0,9.882,1.4,18.4,0.0,0.0,20.0,29.5,0.0
121,spring,medium,medium,8.1,7.1,42.636,5.078,56.364,166.727,262.727,17.2,1.6,8.9,6.6,0.0,9.2,1.6,1.4
122,summer,medium,medium,8.1,9.0,48.429,6.64,128.571,181.0,222.286,6.429,3.3,11.6,7.0,0.0,17.9,4.7,0.0
123,winter,medium,high,7.4,10.7,11.818,2.163,170.909,36.909,122.0,5.555,14.6,0.0,0.0,1.9,22.1,12.7,1.4
124,spring,medium,high,8.3,9.7,10.556,1.921,65.556,61.556,127.222,5.233,1.7,0.0,10.3,2.6,8.9,6.7,0.0
125,summer,medium,high,8.6,10.7,12.0,2.231,43.75,62.625,89.625,2.15,3.3,0.0,0.0,1.9,34.3,7.1,6.0
126,winter,medium,medium,9.1,11.6,31.091,5.099,246.364,55.0,284.0,88.255,0.0,36.6,4.1,0.0,1.2,16.7,6.1
127,spring,medium,medium,9.0,6.9,28.333,2.954,76.667,102.333,277.333,110.456,0.0,16.4,10.1,0.0,0.0,0.0,6.6
128,summer,medium,medium,8.3,10.0,30.125,3.726,102.5,75.875,177.625,50.225,1.5,32.8,1.0,4.1,0.0,15.8,2.4
129,winter,medium,high,8.5,10.1,10.936,1.335,236.0,34.636,72.9,11.1,4.2,0.0,1.4,1.9,16.2,0.0,1.4
130,spring,medium,high,8.3,7.7,10.078,1.212,103.333,48.667,82.444,2.0,4.1,0.0,25.3,2.1,8.0,0.0,18.6
131,summer,medium,high,7.3,10.5,11.088,1.374,92.375,48.625,66.75,3.3,1.2,0.0,2.3,0.0,44.4,7.5,1.9
132,winter,medium,medium,7.9,9.8,194.75,6.513,3466.66,23.0,173.75,15.3,0.0,0.0,1.0,0.0,9.0,64.6,0.0
133,spring,medium,medium,7.9,8.3,391.5,6.045,380.0,173.0,317.0,5.5,2.4,1.7,4.2,8.3,1.7,0.0,2.4
134,autumn,medium,medium,8.0,11.9,130.67,6.54,196.0,75.0,84.0,4.5,7.8,8.7,2.1,0.0,14.9,22.9,2.4
135,spring,medium,medium,8.0,9.2,39.0,4.86,120.0,187.0,213.0,2.0,10.3,26.5,6.1,0.0,5.6,1.5,2.2
136,autumn,medium,medium,8.1,11.7,35.66,5.13,46.5,49.0,88.5,2.5,1.5,72.6,0.0,0.0,3.4,6.8,3.4
137,winter,medium,low,8.43,9.9,37.6,0.826,124.0,32.5,115.0,11.7,9.2,2.9,2.0,1.3,2.5,0.0,0.0
138,summer,medium,low,8.1,6.2,39.0,0.673,112.857,60.0,98.143,2.0,28.1,0.0,0.0,4.0,1.2,0.0,0.0
139,winter,medium,medium,7.9,11.2,49.9,9.773,505.0,67.5,143.75,5.45,2.1,2.6,0.0,0.0,15.0,15.7,0.0
140,summer,medium,medium,8.1,6.2,51.113,5.099,175.0,132.5,197.143,6.4,1.4,15.7,1.4,0.0,3.5,0.0,1.6
141,spring,medium,high,7.8,9.5,8.3,1.67,34.0,16.8,35.2,1.0,19.0,0.0,22.0,5.0,1.1,5.4,0.0
142,autumn,medium,high,7.9,10.5,10.207,2.304,132.25,10.583,23.485,2.0,42.5,0.0,2.2,1.0,0.0,0.0,0.0
143,winter,medium,low,8.0,4.5,79.077,8.984,920.0,70.0,200.231,19.4,2.5,1.4,1.4,6.2,4.1,1.8,3.9
144,spring,medium,low,7.6,6.3,81.333,9.715,196.667,77.333,147.833,3.0,4.4,11.2,6.8,0.0,1.0,0.0,31.6
145,autumn,medium,low,7.8,6.5,64.093,7.74,1990.16,47.5,276.0,8.1,6.5,4.1,0.0,7.7,9.9,18.2,7.0
146,winter,medium,high,8.22,8.1,41.25,1.415,172.5,46.667,123.333,30.4,39.7,12.7,0.0,1.1,2.7,0.0,1.6
147,autumn,medium,high,8.3,9.9,40.226,1.587,235.0,33.8,75.207,23.8,32.8,28.0,2.0,3.5,1.0,0.0,1.5
148,winter,medium,high,8.47,9.0,46.167,2.102,84.667,48.0,116.2,7.3,12.2,16.0,1.0,1.4,1.9,1.2,0.0
149,spring,medium,high,8.4,4.9,47.0,0.536,91.833,109.0,188.667,32.0,1.9,25.4,21.7,0.0,0.0,1.0,0.0
150,autumn,medium,high,8.87,11.0,41.163,2.273,54.75,39.0,72.696,22.7,0.0,5.6,1.2,0.0,8.0,2.7,0.0
151,summer,medium,high,7.7,4.4,53.0,2.31,90.0,22.2,116.2,16.0,0.0,0.0,0.0,1.2,5.7,32.1,0.0
152,autumn,medium,high,7.3,11.8,44.205,45.65,24064.0,44.0,34.0,53.1,2.2,0.0,0.0,1.2,5.9,77.6,0.0
153,spring,medium,medium,7.9,6.0,127.833,2.68,176.667,27.5,76.333,2.1,3.4,21.5,14.0,1.8,3.9,0.0,0.0
154,autumn,medium,medium,7.8,10.53,100.83,5.41,486.5,24.0,58.374,27.5,2.8,1.9,0.0,1.2,19.0,4.5,0.0
155,spring,large,low,7.8,3.2,94.0,4.908,1131.66,175.667,361.0,28.567,24.8,10.4,0.0,6.9,0.0,0.0,2.7
156,summer,large,low,7.6,4.9,69.0,3.685,1495.0,234.5,236.0,22.5,32.5,12.0,0.0,5.0,0.0,0.0,1.9
157,spring,large,low,8.6,3.6,50.0,0.376,134.0,54.1,125.8,26.8,0.0,28.0,0.0,0.0,0.0,0.0,15.1
158,autumn,large,low,8.4,10.6,19.22,1.655,96.833,20.667,54.916,20.6,0.0,11.3,1.8,0.0,2.5,0.0,1.4
159,winter,large,low,8.3,11.5,26.0,1.87,62.5,30.75,75.333,34.75,0.0,20.1,0.0,0.0,0.0,0.0,0.0
160,spring,large,low,9.0,5.8,7.0,0.9,142.0,102.0,186.0,68.05,1.7,20.6,1.5,2.2,0.0,0.0,0.0
161,spring,large,low,9.5,5.7,44.0,0.102,146.667,151.333,252.5,93.683,12.3,21.7,3.9,0.0,0.0,0.0,3.9
162,summer,large,low,8.8,8.8,43.0,0.13,103.333,180.667,269.667,92.667,7.2,28.2,0.0,0.0,0.0,0.0,3.3
163,autumn,large,low,8.84,12.9,43.09,0.846,52.2,8.6,46.438,81.54,3.4,21.5,0.0,0.0,0.0,0.0,2.7
164,winter,large,high,7.3,9.9,16.0,4.82,101.667,14.667,85.0,2.0,0.0,0.0,0.0,2.4,0.0,17.8,3.6
165,autumn,large,high,7.4,10.68,22.35,5.414,244.6,66.4,171.272,3.8,1.1,0.0,1.4,0.0,6.6,42.1,5.2
166,spring,large,low,9.1,4.3,82.857,0.86,137.273,102.364,232.9,54.367,0.0,6.0,2.9,0.0,0.0,0.0,2.9
167,autumn,large,low,8.53,11.1,63.292,1.726,227.6,84.3,146.452,21.22,1.4,14.7,2.5,0.0,0.0,0.0,2.0
168,winter,large,low,8.56,8.7,43.97,4.053,643.0,221.9,246.667,14.7,12.5,2.1,0.0,1.2,6.4,4.5,1.7
169,autumn,large,low,8.06,8.3,38.902,3.678,627.273,205.636,219.909,6.209,0.0,0.0,0.0,0.0,8.6,52.5,0.0
170,winter,large,medium,8.24,6.1,95.367,3.561,1168.0,236.4,272.222,20.578,2.5,13.2,0.0,2.0,7.4,17.2,0.0
171,summer,large,medium,7.91,6.2,151.833,3.923,1081.66,346.167,388.167,5.083,1.7,12.0,4.9,2.7,0.0,5.9,1.7
172,winter,large,medium,8.21,9.3,104.818,3.908,124.364,82.222,167.9,5.609,1.4,4.6,10.8,2.2,5.5,42.4,0.0
173,spring,large,medium,8.5,7.3,71.444,2.512,66.667,64.389,137.778,9.384,0.0,3.8,16.0,4.0,0.0,0.0,3.3
174,spring,large,medium,8.6,10.6,208.364,4.459,197.909,87.333,194.1,27.618,0.0,1.2,0.0,0.0,11.3,11.5,0.0
175,winter,large,medium,9.06,6.35,187.183,3.351,54.778,159.167,221.278,20.8,0.0,21.1,3.7,0.0,0.0,0.0,1.9
176,autumn,large,high,8.7,10.7,4.545,0.941,32.727,16.0,21.3,1.1,39.7,0.0,12.9,0.0,0.0,0.0,0.0
177,spring,large,high,8.1,10.7,3.5,1.013,12.5,12.75,11.0,0.6,37.3,9.7,13.6,0.0,2.2,0.0,1.2
178,summer,large,high,8.4,10.29,5.326,0.996,53.846,7.667,14.354,0.8,52.4,7.5,9.4,0.0,1.4,1.9,0.0
179,spring,large,medium,8.6,10.1,2.111,0.663,11.111,3.222,7.0,1.3,48.3,2.0,0.0,0.0,0.0,0.0,0.0
180,summer,large,medium,8.2,9.5,2.2,0.672,10.0,3.8,6.2,0.8,50.4,3.8,0.0,0.0,0.0,0.0,0.0
181,winter,large,medium,8.5,10.5,2.75,0.758,10.5,4.0,7.654,4.0,56.8,5.0,0.0,0.0,0.0,0.0,0.0
182,summer,large,medium,8.3,10.0,3.86,0.866,32.0,6.0,16.0,2.86,17.3,6.7,19.7,0.0,0.0,0.0,0.0
183,winter,large,high,8.0,10.9,9.055,0.825,40.0,21.083,56.091,1.662523,16.8,19.6,4.0,0.0,0.0,0.0,0.0
184,summer,large,high,8.1,10.2,7.613,0.699,32.5,26.625,52.875,2.0,18.1,1.7,2.0,0.0,1.7,5.9,0.0
185,winter,large,low,8.7,10.8,39.109,6.225,161.818,104.727,228.364,46.075,1.1,3.9,2.1,0.0,3.9,4.6,2.3
186,winter,large,low,8.7,11.7,22.455,3.765,88.182,41.3,85.4,17.491,0.0,4.7,0.0,0.0,2.6,2.6,0.0
187,summer,large,low,8.4,8.2,23.25,2.805,43.75,51.125,87.125,14.775,0.0,12.0,1.7,0.0,2.7,0.0,0.0
188,autumn,large,low,8.55,11.0,22.32,3.14,82.1,45.9,101.455,18.33,1.7,7.0,1.2,0.0,4.8,3.1,0.0
189,spring,large,medium,8.5,7.6,12.778,1.873,17.778,50.889,127.0,24.556,0.0,0.0,10.2,1.7,1.2,0.0,5.5
190,autumn,large,medium,8.7,11.4,15.541,2.323,103.0,34.5,81.558,5.62,7.6,0.0,1.2,0.0,15.9,31.8,5.9
191,winter,large,medium,8.4,10.5,12.182,1.519,65.455,19.727,50.455,8.155,2.9,4.6,1.0,0.0,6.6,16.6,0.0
192,spring,large,medium,8.2,8.2,7.333,1.003,37.778,19.111,120.889,5.111,2.2,12.7,8.8,0.0,0.0,0.0,1.2
193,autumn,large,medium,8.58,11.1,23.825,3.617,72.6,51.111,91.111,22.9,3.8,22.0,2.9,0.0,3.1,5.5,0.0
194,summer,large,medium,8.5,7.9,12.444,2.586,96.667,19.111,61.444,6.167,18.9,13.2,5.0,0.0,6.1,0.0,0.0
195,autumn,large,medium,8.4,8.4,17.375,3.833,83.75,53.625,79.75,2.338,12.7,21.7,5.6,0.0,1.0,0.0,0.0
196,spring,large,medium,8.3,10.6,14.32,3.2,125.333,35.333,75.904,4.667,18.0,7.0,1.7,0.0,4.8,10.3,1.0
